Order ID,Product Name,Category,Sales,Quantity,Profit
CA-2016-152156,Bush Somerset Collection Bookcase,Furniture,261.96,2,41.9136
CA-2016-152156,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,731.94,3,219.582
CA-2016-138688,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,14.62,2,6.8714
US-2015-108966,Bretford CR4500 Series Slim Rectangular Table,Furniture,957.5775,5,-383.031
US-2015-108966,Eldon Fold 'N Roll Cart System,Office Supplies,22.368,2,2.5164
CA-2014-115812,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,48.86,7,14.1694
CA-2014-115812,Newell 322,Office Supplies,7.28,4,1.9656
CA-2014-115812,Mitel 5320 IP Phone VoIP phone,Technology,907.152,6,90.7152
CA-2014-115812,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,18.504,3,5.7825
CA-2014-115812,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,114.9,5,34.47
CA-2014-115812,Chromcraft Rectangular Conference Tables,Furniture,1706.184,9,85.3092
CA-2014-115812,Konftel 250 Conference phone - Charcoal black,Technology,911.424,4,68.3568
CA-2017-114412,Xerox 1967,Office Supplies,15.552,3,5.4432
CA-2016-161389,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,407.976,3,132.5922
US-2015-118983,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,68.81,5,-123.858
US-2015-118983,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,2.544,3,-3.816
CA-2014-105893,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,665.88,6,13.3176
CA-2014-167164,Fellowes Super Stor/Drawer,Office Supplies,55.5,2,9.99
CA-2014-143336,Newell 341,Office Supplies,8.56,2,2.4824
CA-2014-143336,Cisco SPA 501G IP Phone,Technology,213.48,3,16.011
CA-2014-143336,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,22.72,4,7.384
CA-2016-137330,Newell 318,Office Supplies,19.46,7,5.0596
CA-2016-137330,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,60.34,7,15.6884
US-2017-156909,"Global Deluxe Stacking Chair, Gray",Furniture,71.372,2,-1.0196
CA-2015-106320,Bretford CR4500 Series Slim Rectangular Table,Furniture,1044.63,3,240.2649
CA-2016-121755,Wilson Jones Active Use Binders,Office Supplies,11.648,2,4.2224
CA-2016-121755,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,90.57,3,11.7741
US-2015-150630,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,3083.43,7,-1665.0522
US-2015-150630,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,9.618,2,-7.0532
US-2015-150630,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,124.2,3,15.525
US-2015-150630,Poly String Tie Envelopes,Office Supplies,3.264,2,1.1016
US-2015-150630,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,86.304,6,9.7092
US-2015-150630,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,6.858,6,-5.715
US-2015-150630,Lumber Crayons,Office Supplies,15.76,2,3.546
CA-2017-107727,Easy-staple paper,Office Supplies,29.472,3,9.9468
CA-2016-117590,GE 30524EE4,Technology,1097.544,7,123.4737
CA-2016-117590,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,190.92,5,-147.963
CA-2015-117415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,113.328,9,35.415
CA-2015-117415,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,532.3992,3,-46.9764
CA-2015-117415,"Global Fabric Manager's Chair, Dark Gray",Furniture,212.058,3,-15.147
CA-2015-117415,Plantronics HL10 Handset Lifter,Technology,371.168,4,41.7564
CA-2017-120999,Panasonic Kx-TS550,Technology,147.168,4,16.5564
CA-2016-101343,"Eldon Base for stackable storage shelf, platinum",Office Supplies,77.88,2,3.894
CA-2017-139619,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,95.616,2,9.5616
CA-2016-118255,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,45.98,2,19.7714
CA-2016-118255,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,17.46,2,8.2062
CA-2014-146703,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,211.96,4,8.4784
CA-2016-169194,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,45,3,4.95
CA-2016-169194,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,21.8,2,6.104
CA-2015-115742,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,38.22,6,17.9634
CA-2015-115742,Avery 485,Office Supplies,75.18,6,35.3346
CA-2015-115742,Longer-Life Soft White Bulbs,Furniture,6.16,2,2.9568
CA-2015-115742,"Global Leather Task Chair, Black",Furniture,89.99,1,17.0981
CA-2016-105816,Advantus Push Pins,Office Supplies,15.26,7,6.2566
CA-2016-105816,AT&T CL83451 4-Handset Telephone,Technology,1029.95,5,298.6855
CA-2016-111682,Home/Office Personal File Carts,Office Supplies,208.56,6,52.14
CA-2016-111682,Xerox 232,Office Supplies,32.4,5,15.552
CA-2016-111682,Novimex Turbo Task Chair,Furniture,319.41,5,7.098
CA-2016-111682,"Array Parchment Paper, Assorted Colors",Office Supplies,14.56,2,6.9888
CA-2016-111682,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,30,2,3.3
CA-2016-111682,Plastic Binding Combs,Office Supplies,48.48,4,16.362
CA-2016-111682,Prang Dustless Chalk Sticks,Office Supplies,1.68,1,0.84
CA-2015-135545,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,13.98,2,6.1512
CA-2015-135545,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,25.824,6,9.3612
CA-2015-135545,Xerox 1943,Office Supplies,146.73,3,68.9631
CA-2015-135545,Luxo Economy Swing Arm Lamp,Furniture,79.76,4,22.3328
US-2015-164175,"Global Value Mid-Back Manager's Chair, Gray",Furniture,213.115,5,-15.2225
CA-2014-106376,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,1113.024,8,111.3024
CA-2014-106376,netTALK DUO VoIP Telephone Service,Technology,167.968,4,62.988
CA-2016-119823,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,75.88,2,35.6636
CA-2016-106075,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,4.616,1,1.731
CA-2017-114440,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,19.05,3,8.763
US-2015-134026,High-Back Leather Manager's Chair,Furniture,831.936,8,-114.3912
US-2015-134026,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,97.04,2,1.213
US-2015-134026,Safco Industrial Wire Shelving System,Office Supplies,72.784,1,-18.196
US-2017-118038,Economy Binders,Office Supplies,1.248,3,-1.9344
US-2017-118038,"6"" Cubicle Wall Clock, Black",Furniture,9.708,3,-5.8248
US-2017-118038,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,27.24,3,2.724
US-2014-147606,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,19.3,5,-14.475
CA-2016-127208,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,208.16,1,56.2032
CA-2016-127208,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,16.74,3,8.0352
CA-2014-139451,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,14.9,5,4.172
CA-2014-139451,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,21.39,1,6.2031
CA-2015-149734,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,200.984,7,62.8075
US-2017-119662,Safco Industrial Wire Shelving,Office Supplies,230.376,3,-48.9549
CA-2017-140088,Novimex Swivel Fabric Task Chair,Furniture,301.96,2,33.2156
CA-2017-155558,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,19.99,1,6.7966
CA-2017-155558,Avery 511,Office Supplies,6.16,2,2.9568
CA-2016-159695,Eldon Portable Mobile Manager,Office Supplies,158.368,7,13.8572
CA-2016-109806,Turquoise Lead Holder with Pocket Clip,Office Supplies,20.1,3,6.633
CA-2016-109806,Panasonic Kx-TS550,Technology,73.584,2,8.2782
CA-2016-109806,Xerox 1995,Office Supplies,6.48,1,3.1104
CA-2015-149587,Xerox 1999,Office Supplies,12.96,2,6.2208
CA-2015-149587,"Seth Thomas 13 1/2"" Wall Clock",Furniture,53.34,3,16.5354
CA-2015-149587,Ibico Standard Transparent Covers,Office Supplies,32.96,2,16.1504
US-2017-109484,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,5.682,1,-3.788
CA-2017-161018,9-3/4 Diameter Round Wall Clock,Furniture,96.53,7,40.5426
CA-2017-157833,Trimflex Flexible Post Binders,Office Supplies,51.312,3,17.9592
CA-2016-149223,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,77.88,6,22.5852
CA-2016-158568,Avery Personal Creations Heavyweight Cards,Office Supplies,64.624,7,22.6184
CA-2016-158568,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,95.976,3,-10.7973
CA-2016-158568,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,1.788,3,-3.0396
CA-2016-129903,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,23.92,4,11.7208
US-2015-156867,Logitech K350 2.4Ghz Wireless Keyboard,Technology,238.896,6,-26.8758
US-2015-156867,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,102.36,3,-3.8385
US-2015-156867,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,36.882,3,-25.8174
CA-2017-119004,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,74.112,8,17.6016
CA-2017-119004,Speck Products Candyshell Flip Case,Technology,27.992,1,2.0994
CA-2017-119004,Newell Chalk Holder,Office Supplies,3.304,1,1.0738
CA-2015-129476,Logitech Gaming G510s - Keyboard,Technology,339.96,5,67.992
CA-2017-146780,Magnifier Swing Arm Lamp,Furniture,41.96,2,10.9096
CA-2016-128867,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,75.96,2,22.788
CA-2016-128867,"Avery Durable Plastic 1"" Binders",Office Supplies,27.24,6,13.3476
CA-2014-115259,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,40.096,14,14.5348
CA-2014-115259,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,4.72,2,1.652
CA-2014-115259,Xerox 1921,Office Supplies,23.976,3,7.4925
